Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed,Name,Series,Volume,Goodreads Url,Description,Genre,Image Url,Low Links,High Links,Publishers
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,9780553582024.0,055358202X,"1,061",4.15,676984,2005-10-17,2021-01-29,2021-03-27,A Feast for Crows,A Song of Ice and Fire,4,https://www.goodreads.com/book/show/13497,"Crows will fight over a dead man's flesh, and kill each other for his eyes.
Bloodthirsty, treacherous and cunning, the Lannisters are in power on the Iron Throne in the name of the boy-king Tommen. The war in the Seven Kingdoms has burned itself out, but in its bitter aftermath new conflicts spark to life.
The Martells of Dorne and the Starks of Winterfell seek vengeance for their dead. Euron Crow's Eye, as black a pirate as ever raised a sail, returns from the smoking ruins of Valyria to claim the Iron Isles. From the icy north, where Others threaten the Wall, apprentice Maester Samwell Tarly brings a mysterious babe in arms to the Citadel.
Against a backdrop of incest and fratricide, alchemy and murder, victory will go to the men and women possessed of the coldest steel and the coldest hearts.","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429538615l/13497.jpg,"{'1x': ['https://m.media-amazon.com/images/I/41dbdqnroqL._AC_UY218_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/41dbdqnroqL._AC_UY327_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/41dbdqnroqL._AC_UY436_FMwebp_QL65_.jpg'], '2.5x': [], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/41dbdqnroqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51rQditS9uL.jpg']",Bantam Books
"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,9780756410438.0,0756410436,159,3.89,130547,2014-10-28,,,The Slow Regard of Silent Things,The Kingkiller Chronicle,2,https://www.goodreads.com/book/show/21535271,"Deep below the University, there is a dark place. Few people know of it: a broken web of ancient passageways and abandoned rooms. A young woman lives there, tucked among the sprawling tunnels of the Underthing, snug in the heart of this forgotten place.
Her name is Auri, and she is full of mysteries.
The Slow Regard of Silent Things is a brief, bittersweet glimpse of Auri’s life, a small adventure all her own. At once joyous and haunting, this story offers a chance to see the world through Auri’s eyes. And it gives the reader a chance to learn things that only Auri knows...
In this book, Patrick Rothfuss brings us into the world of one of The Kingkiller Chronicle’s most enigmatic characters. Full of secrets and mysteries, The Slow Regard of Silent Things is the story of a broken girl trying to live in a broken world.

AUTHOR’S FOREWORD
You might not want to buy this book.
I know, that’s not the sort of thing an author is supposed to say. The marketing people aren’t going to like this. My editor is going to have a fit. But I’d rather be honest with you right out of the gate.
First, if you haven’t read my other books, you don’t want to start here.
My first two books are The Name of the Wind and The Wise Man’s Fear. If you’re curious to try my writing, start there. They’re the best introduction to my world. This book deals with Auri, one of the characters from that series. Without the context of those books, you’re probably going to feel pretty lost.
Second, even if you have read my other books, I think it’s only fair to warn you that this is a bit of a strange story. I don’t go in for spoilers, but suffice to say that this one is ... different. It doesn’t do a lot of the things a classic story is supposed to do. And if you’re looking for a continuation of Kvothe’s storyline, you’re not going to find it here.
On the other hand, if you’d like to learn more about Auri, this story has a lot to offer. If you love words and mysteries and secrets. If you’re curious about the Underthing and alchemy. If you want to know more about the hidden turnings of my world...
Well, then this book might be for you.
(less)","['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Short Stories', 'Novella']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398466695l/21535271.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71TM+prbl9L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71TM+prbl9L._AC_UY654_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71TM+prbl9L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81StuZ3DXeL._AC_UY218_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71TM+prbl9L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81StuZ3DXeL._AC_UY327_FMwebp_QL65_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71TM+prbl9L._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81StuZ3DXeL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/71TM+prbl9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81StuZ3DXeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71f8jpo2xnL.jpg']",DAW Books
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,9780786856862.0,0786856866,279,4.24,940782,2006-04-01,2020-10-13,2020-10-13,The Sea of Monsters,Percy Jackson and the Olympians,2,https://www.goodreads.com/book/show/28186,"The heroic son of Poseidon makes an action-packed comeback in the second must-read installment of Rick Riordan's amazing young readers series. Starring Percy Jackson, a ""half blood"" whose mother is human and whose father is the God of the Sea, Riordan's series combines cliffhanger adventure and Greek mythology lessons that results in true page-turners that get better with each installment.
In this episode, The Sea of Monsters, Percy sets out to retrieve the Golden Fleece before his summer camp is destroyed, surpassing the first book's drama and setting the stage for more thrills to come.","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Fiction', 'Childrens']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661l/28186.jpg,"{'1x': ['https://m.media-amazon.com/images/I/817V-J17ZvL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/817V-J17ZvL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81OFTawrRdL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/817V-J17ZvL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81OFTawrRdL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81OFTawrRdL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/817V-J17ZvL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81OFTawrRdL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51xHZLaz3bL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/817V-J17ZvL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81OFTawrRdL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/817V-J17ZvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81OFTawrRdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xHZLaz3bL.jpg']",Hyperion Books
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,9780765316899.0,0765316897,572,4.5,328867,2008-10-14,2020-04-06,2020-04-08,The Hero of Ages,Mistborn,3,https://www.goodreads.com/book/show/2767793,"Who is the Hero of Ages?
To end the Final Empire and restore freedom, Vin killed the Lord Ruler. But as a result, the Deepness—the lethal form of the ubiquitous mists—is back, along with increasingly heavy ashfalls and ever more powerful earthquakes. Humanity appears to be doomed.
Having escaped death at the climax of The Well of Ascension only by becoming a Mistborn himself, Emperor Elend Venture hopes to find clues left behind by the Lord Ruler that will allow him to save the world. Vin is consumed with guilt at having been tricked into releasing the mystic force known as Ruin from the Well. Ruin wants to end the world, and its near omniscience and ability to warp reality make stopping it seem impossible. Vin can't even discuss it with Elend lest Ruin learn their plans!","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628563911l/2767793._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/71mLLFdrzaL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71mLLFdrzaL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/71mLLFdrzaL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/71mLLFdrzaL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51mHNyvQMLL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/71mLLFdrzaL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY436_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/71KFwge6xeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81Y6sCMYvmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91oDAk2umCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91M92xaYegL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91yv41svOGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81cmqL92JtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81qGIu-YGiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81xNFGTfyCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51mHNyvQMLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511ZSQ62c7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81Xpk6THCcL.jpg']",Tor Books
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,9780765316882.0,0765316889,590,4.37,356839,2007-08-21,2020-03-30,2020-04-05,The Well of Ascension,Mistborn,2,https://www.goodreads.com/book/show/68429,"The impossible has been accomplished. The Lord Ruler—the man who claimed to be god incarnate and brutally ruled the world for a thousand years—has been vanquished. But Kelsier, the hero who masterminded that triumph, is dead too, and now the awesome task of building a new world has been left to his young protégé, Vin, the former street urchin who is now the most powerful Mistborn in the land, and to the idealistic young nobleman she loves.
As Kelsier's protégé and slayer of the Lord Ruler she is now venerated by a budding new religion, a distinction that makes her intensely uncomfortable. Even more worrying, the mists have begun behaving strangely since the Lord Ruler died, and seem to harbor a strange vaporous entity that haunts her.
Stopping assassins may keep Vin's Mistborn skills sharp, but it's the least of her problems. Luthadel, the largest city of the former empire, doesn't run itself, and Vin and the other members of Kelsier's crew, who lead the revolution, must learn a whole new set of practical and political skills to help. It certainly won't get easier with three armies - one of them composed of ferocious giants - now vying to conquer the city, and no sign of the Lord Ruler's hidden cache of atium, the rarest and most powerful allomantic metal.
As the siege of Luthadel tightens, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows.","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619538925l/68429._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/715yU6MOkLL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/715yU6MOkLL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51mHNyvQMLL._AC_UY436_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/715yU6MOkLL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51mHNyvQMLL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/51mHNyvQMLL._AC_UY500_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/715yU6MOkLL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/51mHNyvQMLL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/512n9vDr71L._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/715yU6MOkLL._AC_UY545_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/51mHNyvQMLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/511ZSQ62c7L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81Xpk6THCcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512n9vDr71L.jpg']",Tor Books
"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,9780316029193.0,031602919X,398,4.1,159450,1994-01-01,,,Blood of Elves,The Witcher,1,https://www.goodreads.com/book/show/6043781,"The New York Times bestselling series that inspired the international hit video game: The Witcher.
For over a century, humans, dwarves, gnomes, and elves have lived together in relative peace. But times have changed, the uneasy peace is over, and now the races are fighting once again. The only good elf, it seems, is a dead elf.
Geralt of Rivia, the cunning assassin known as The Witcher, has been waiting for the birth of a prophesied child. This child has the power to change the world - for good, or for evil.
As the threat of war hangs over the land and the child is hunted for her extraordinary powers, it will become Geralt's responsibility to protect them all - and the Witcher never accepts defeat.
The Witcher returns in this sequel to The Last Wish, as the inhabitants of his world become embroiled in a state of total war.","['Fantasy', 'Fiction', 'Audiobook', 'Fantasy', 'High Fantasy', 'European Literature']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589998653l/6043781._SX318_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/81NdVwdlE1L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81NdVwdlE1L._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81TqD+qHjeL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/81NdVwdlE1L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81TqD+qHjeL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/81TqD+qHjeL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/81NdVwdlE1L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81TqD+qHjeL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715Ur0RwSQL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/81NdVwdlE1L._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/81TqD+qHjeL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/715Ur0RwSQL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/81NdVwdlE1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91ab57kbzdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71i3NBz4lYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81rIhiZrTYL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Fr5FDSp9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81TqD+qHjeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81ePxX1mfQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DFQr-RUeS.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61hsuKwU41S.jpg', 'https://images-na.ssl-images-amazon.com/images/I/715Ur0RwSQL.jpg']",Hachette Book Group
"The Final Empire (Mistborn, #1)",Brandon Sanderson,9780765311788.0,,541,4.46,515319,2006-07-17,2020-10-01,2020-10-03,The Final Empire,Mistborn,1,https://www.goodreads.com/book/show/68428,"What if the whole world were a dead, blasted wasteland?
Mistborn
For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler, the ""Sliver of Infinity,"" reigned with absolute power and ultimate terror, divinely invincible. Then, when hope was so long lost that not even its memory remained, a terribly scarred, heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader, he turned his talents to the ultimate caper, with the Lord Ruler himself as the mark.
Kelsier recruited the underworld's elite, the smartest and most trustworthy allomancers, each of whom shares one of his many powers, and all of whom relish a high-stakes challenge. Then Kelsier reveals his ultimate dream, not just the greatest heist in history, but the downfall of the divine despot.
But even with the best criminal crew ever assembled, Kel's plan looks more like the ultimate long shot, until luck brings a ragged girl named Vin into his life. Like him, she's a half-Skaa orphan, but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets. She will have to learn trust if Kel is to help her master powers of which she never dreamed.
Brandon Sanderson, fantasy's newest master tale-spinner and author of the acclaimed debut Elantris, dares to turn a genre on its head by asking a simple question: What if the prophesied hero failed to defeat the Dark Lord? The answer will be found in the Misborn Trilogy, a saga of surprises that begins with the book in your hands. Fantasy will never be the same again.","['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617768316l/68428._SY475_.jpg,"{'1x': ['https://m.media-amazon.com/images/I/716+opLvq8L._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/716+opLvq8L._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/716+opLvq8L._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/716+opLvq8L._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91KEMIcBHcL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/716+opLvq8L._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71KFwge6xeL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91KEMIcBHcL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/716+opLvq8L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71KFwge6xeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81Y6sCMYvmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91oDAk2umCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91M92xaYegL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91yv41svOGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81cmqL92JtL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81qGIu-YGiL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81xNFGTfyCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91KEMIcBHcL.jpg']",Tor Books
"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",Rick Riordan,9781423160939.0,1423160932,410,4.39,69875,2017-10-03,2020-03-26,2020-04-02,The Ship of the Dead,Magnus Chase and the Gods of Asgard,3,https://www.goodreads.com/book/show/28006120,"Magnus Chase, a once-homeless teen, is a resident of the Hotel Valhalla and one of Odin's chosen warriors. As the son of Frey, the god of summer, fertility, and health, Magnus isn't naturally inclined to fighting. But he has strong and steadfast friends, including Hearthstone the elf, Blitzen the dwarf, and Samirah the Valkyrie, and together they have achieved brave deeds, such as defeating Fenris Wolf and battling giants for Thor's hammer, Mjolnir. Now Magnus faces his most dangerous trial yet. His cousin, Annabeth, recruits her boyfriend, Percy Jackson, to give Magnus some pointers, but will his training be enough?
Loki is free from his chains. He's readying Naglfar, the Ship of the Dead, complete with a host of giants and zombies, to sail against the Asgardian gods and begin the final battle of Ragnarok. It's up to Magnus and his friends to stop him, but to do so they will have to sail across the oceans of Midgard, Jotunheim, and Niflheim in a desperate race to reach Naglfar before it's ready to sail. Along the way, they will face angry sea gods, hostile giants, and an evil fire-breathing dragon. But Magnus's biggest challenge will be facing his own inner demons. Does he have what it takes to outwit the wily trickster god?","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult', 'Childrens', 'Middle Grade']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493178281l/28006120.jpg,"{'1x': ['https://m.media-amazon.com/images/I/917EBtEEklL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/917EBtEEklL._AC_UY654_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71kvW10-YJL._AC_UY545_FMwebp_QL65_.jpg'], '1.5x': ['https://m.media-amazon.com/images/I/917EBtEEklL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71kvW10-YJL._AC_UY218_.jpg', 'https://m.media-amazon.com/images/I/71kvW10-YJL._AC_UY654_FMwebp_QL65_.jpg'], '2x': ['https://m.media-amazon.com/images/I/917EBtEEklL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71kvW10-YJL._AC_UY327_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91FhqnmNyWL._AC_UY218_.jpg'], '2.5x': ['https://m.media-amazon.com/images/I/917EBtEEklL._AC_UY545_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/71kvW10-YJL._AC_UY436_FMwebp_QL65_.jpg', 'https://m.media-amazon.com/images/I/91FhqnmNyWL._AC_UY327_FMwebp_QL65_.jpg'], '3x': [], '3.5x': [], '4x': []}","['https://images-na.ssl-images-amazon.com/images/I/917EBtEEklL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/71kvW10-YJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/91FhqnmNyWL.jpg']",Disney-Hyperion Books
"The Red Pyramid: The Graphic Novel (The Kane Chronicles: The Graphic Novels, #1)",Orpheus Collar,9781423150688.0,1423150686,192,4.29,20097,2012-10-02,,,The Red Pyramid: The Graphic Novel,The Kane Chronicles: The Graphic Novels,1,https://www.goodreads.com/book/show/13027796,"Since their mother's death, Sadie and Carter have become near-strangers. While Sadie has lived with her grandparents in London, Carter has traveled the world with their father, the famed Egyptologist Dr. Julius Kane.
One night, Dr. Kane brings the siblings to the British Museum, where he hopes to set things right for his family. Instead, he unleashes the Egyptian god Set, who banishes him to oblivion and forces the children to flee for their lives.
Soon, Sadie and Carter discover that all the gods of Egypt are waking, and that Set now has his sights on them. To stop him, the duo embarks on a dangerous journey across the globe, one that brings Carter and Sadie ever closer to the truth about their family and its connection to a secret order that has existed since the time of the pharaohs.
The heart-stopping action and magic explode off the page in The Red Pyramid, The Graphic Novel, based on the worldwise best-selling novel by Rick Riordan.","['Sequential Art', 'Graphic Novels', 'Fantasy', 'Fantasy', 'Mythology', 'Young Adult']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331615033l/13027796.jpg,"{'1x': [], '1.5x': [], '2x': [], '2.5x': [], '3x': [], '3.5x': [], '4x': []}",[],
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,9780756404734.0,0756404738,994,4.55,490920,2011-03-01,2020-07-09,2020-07-12,The Wise Man's Fear,The Kingkiller Chronicle,2,https://www.goodreads.com/book/show/1215032,"“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”
My name is Kvothe.
I have stolen princesses back from sleeping barrow kings. I burned down the town of Trebon. I have spent the night with Felurian and left with both my sanity and my life. I was expelled from the University at a younger age than most people are allowed in. I tread paths by moonlight that others fear to speak of during day. I have talked to Gods, loved women, and written songs that make the minstrels weep.
You may have heard of me.
So begins the tale of a hero told from his own point of view — a story unequaled in fantasy literature. Now in The Wise Man's Fear, an escalating rivalry with a powerful member of the nobility forces Kvothe to leave the University and seek his fortune abroad. Adrift, penniless, and alone, he travels to Vintas, where he quickly becomes entangled in the politics of courtly society. While attempting to curry favor with a powerful noble, Kvothe uncovers an assassination attempt, comes into conflict with a rival arcanist, and leads a group of mercenaries into the wild, in an attempt to solve the mystery of who (or what) is waylaying travelers on the King's Road.
All the while, Kvothe searches for answers, attempting to uncover the truth about the mysterious Amyr, the Chandrian, and the death of his parents. Along the way, Kvothe is put on trial by the legendary Adem mercenaries, is forced to reclaim the honor of the Edema Ruh, and travels into the Fae realm. There he meets Felurian, the faerie woman no man can resist, and who no man has ever survived ... until Kvothe.
In The Wise Man's Fear, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time.
(less)","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452624392l/1215032.jpg,,,
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,9781423140603.0,1423140605,586,4.46,518248,2012-10-02,,,The Mark of Athena,The Heroes of Olympus,3,https://www.goodreads.com/book/show/12127750,"Annabeth is terrified. Just when she's about to be reunited with Percy—after six months of being apart, thanks to Hera—it looks like Camp Jupiter is preparing for war. As Annabeth and her friends Jason, Piper, and Leo fly in on the Argo II, she can't blame the Roman demigods for thinking the ship is a Greek weapon. With its steaming bronze dragon figurehead, Leo's fantastical creation doesn't appear friendly. Annabeth hopes that the sight of their praetor Jason on deck will reassure the Romans that the visitors from Camp Half-Blood are coming in peace.
And that's only one of her worries. In her pocket, Annabeth carries a gift from her mother that came with an unnerving command: Follow the Mark of Athena. Avenge me. Annabeth already feels weighed down by the prophecy that will send seven demigods on a quest to find—and close—the Doors of Death. What more does Athena want from her?
Annabeth's biggest fear, though, is that Percy might have changed. What if he's now attached to Roman ways? Does he still need his old friends? As the daughter of the goddess of war and wisdom, Annabeth knows she was born to be a leader—but never again does she want to be without Seaweed Brain by her side
Narrated by four different demigods, The Mark of Athena is an unforgettable journey across land and sea to Rome, where important discoveries, surprising sacrifices, and unspeakable horrors await. Climb aboard the Argo II, if you dare. . . .","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Childrens']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201354l/12127750._SY475_.jpg,,,Disney-Hyperion Books
"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",Rick Riordan,9781423160922.0,1423160924,459,4.34,90586,2016-10-04,2020-03-14,2020-03-20,The Hammer of Thor,Magnus Chase and the Gods of Asgard,2,https://www.goodreads.com/book/show/27904311,"""Magnus Chase, you nearly started Ragnarok. What are you going to do next?""
It's been six weeks since Magnus and his friends returned from defeating Fenris Wolf and the fire giants. Magnus has adjusted to life at the Hotel Valhalla—as much as a once-homeless and previously alive kid can. As a son of Frey, the god of summer, fertility, and health, Magnus doesn't exactly fit in with the rest of Odin's chosen warriors, but he has a few good peeps among his hallmates on floor nineteen, and he's been dutifully training for Ragnarok along with everyone else. His days have settled into a new kind of normal.
But Magnus should have known there's no such thing as normal in the Nine Worlds. His friends Hearthstone and Blitzen have disappeared. A new hallmate is creating chaos. According to a very nervous goat, a certain object belonging to Thor is still missing, and the thunder god's enemies will stop at nothing to gain control of it.
Time to summon Jack, the Sword of Summer, and take action. Too bad the only action Jack seems to be interested in is dates with other magical weapons. . . .","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult', 'Childrens', 'Middle Grade']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567236708l/27904311.jpg,,,Disney-Hyperion Books
